Buy/Sell,Instrument,CALL/PUT,Price in BTC,Price in $,Volatility,Amount BTC traded,Amount BTC 2,Theo profit,Mark Price,Prix actuel BTC,Date,Asset,Maturity,Strike,Type,Deribit_Instrument,Bid,Ask,is_active
buy,BTC-25APR25-108000-C,CALL,0.007,582.97,0.5479999999999999,0.1,0.1,0.0,0.0072,83281.09,"17 Mar 2025, 08:17:23",BTC,2025-04-25,108000.0,C,BTC-25APR25-108000-C,0.0008,0.0009,True
buy,BTC-25APR25-180000-C,CALL,0.0003,25.0,0.836,2.0,2.0,0.0002,0.0002,83320.06,"17 Mar 2025, 08:12:46",BTC,2025-04-25,180000.0,C,BTC-25APR25-180000-C,0.0,0.0002,True
buy,BTC-25APR25-180000-C,CALL,0.0003,25.0,0.836,2.0,2.0,0.0002,0.0002,83320.06,"17 Mar 2025, 08:12:46",BTC,2025-04-25,180000.0,C,BTC-25APR25-180000-C,0.0,0.0002,True
sell,BTC-25APR25-100000-C,CALL,0.015,1251.49,0.529,0.1,0.1,0.0,0.0153,83432.78,"17 Mar 2025, 08:09:26",BTC,2025-04-25,100000.0,C,BTC-25APR25-100000-C,0.0016,0.0018,True
sell,BTC-25APR25-100000-C,CALL,0.015,1251.53,0.529,0.1,0.1,0.0,0.0154,83435.6,"17 Mar 2025, 08:09:25",BTC,2025-04-25,100000.0,C,BTC-25APR25-100000-C,0.0016,0.0018,True
buy,BTC-25APR25-180000-C,CALL,0.0003,25.03,0.835,1.0,1.0,0.0001,0.0002,83445.33,"17 Mar 2025, 08:03:56",BTC,2025-04-25,180000.0,C,BTC-25APR25-180000-C,0.0,0.0002,True
buy,BTC-25APR25-116000-C,CALL,0.0037,308.81,0.574,0.1,0.1,0.0,0.0038,83462.15,"17 Mar 2025, 08:03:14",BTC,2025-04-25,116000.0,C,BTC-25APR25-116000-C,0.0004,0.0006,True
buy,BTC-25APR25-88000-P,PUT,0.0965,8062.63,0.52,0.1,0.1,0.0,0.0969,83550.58,"17 Mar 2025, 07:53:55",BTC,2025-04-25,88000.0,P,BTC-25APR25-88000-P,0.1625,0.1685,True
sell,BTC-25APR25-98000-C,CALL,0.0185,1545.35,0.526,0.1,0.1,0.0,0.0188,83532.59,"17 Mar 2025, 07:51:14",BTC,2025-04-25,98000.0,C,BTC-25APR25-98000-C,0.002,0.0022,True
sell,BTC-25APR25-75000-P,PUT,0.0275,2295.09,0.5479999999999999,1.0,1.0,0.0002,0.0277,83457.66,"17 Mar 2025, 07:45:36",BTC,2025-04-25,75000.0,P,BTC-25APR25-75000-P,0.0475,0.0485,True
sell,BTC-25APR25-75000-P,PUT,0.028,2334.0,0.55,0.1,0.1,0.0,0.0279,83357.28,"17 Mar 2025, 07:41:05",BTC,2025-04-25,75000.0,P,BTC-25APR25-75000-P,0.0475,0.0485,True
buy,BTC-25APR25-75000-P,PUT,0.028,2334.0,0.55,0.2,0.2,0.0,0.0279,83357.28,"17 Mar 2025, 07:41:05",BTC,2025-04-25,75000.0,P,BTC-25APR25-75000-P,0.0475,0.0485,True
buy,BTC-25APR25-75000-P,PUT,0.028,2334.0,0.55,0.8,0.8,0.0001,0.0279,83357.28,"17 Mar 2025, 07:41:05",BTC,2025-04-25,75000.0,P,BTC-25APR25-75000-P,0.0475,0.0485,True
sell,BTC-25APR25-75000-P,PUT,0.028,2333.63,0.55,0.2,0.2,0.0,0.0278,83343.81,"17 Mar 2025, 07:26:46",BTC,2025-04-25,75000.0,P,BTC-25APR25-75000-P,0.0475,0.0485,True
sell,BTC-25APR25-92000-C,CALL,0.0364,3029.52,0.5579999999999999,25.2,25.2,0.1015,0.0324,83228.6,"17 Mar 2025, 07:21:00",BTC,2025-04-25,92000.0,C,BTC-25APR25-92000-C,0.005,0.0055,True
buy,BTC-25APR25-106000-C,CALL,0.0085,707.67,0.544,0.1,0.1,0.0,0.0086,83255.13,"17 Mar 2025, 07:20:29",BTC,2025-04-25,106000.0,C,BTC-25APR25-106000-C,0.0008,0.0009,True
sell,BTC-25APR25-92000-C,CALL,0.0364,3030.61,0.557,52.4,52.4,0.2045,0.0325,83258.45,"17 Mar 2025, 07:20:13",BTC,2025-04-25,92000.0,C,BTC-25APR25-92000-C,0.005,0.0055,True
sell,BTC-25APR25-92000-C,CALL,0.0325,2706.02,0.524,25.0,25.0,0.0001,0.0325,83262.05,"17 Mar 2025, 07:20:07",BTC,2025-04-25,92000.0,C,BTC-25APR25-92000-C,0.005,0.0055,True
sell,BTC-25APR25-92000-C,CALL,0.0364,3030.74,0.557,35.0,35.0,0.1367,0.0325,83262.05,"17 Mar 2025, 07:20:07",BTC,2025-04-25,92000.0,C,BTC-25APR25-92000-C,0.005,0.0055,True
sell,BTC-25APR25-80000-P,PUT,0.047,3913.33,0.523,25.0,25.0,0.0259,0.048,83262.29,"17 Mar 2025, 07:19:54",BTC,2025-04-25,80000.0,P,BTC-25APR25-80000-P,0.0825,0.0855,True
buy,BTC-25APR25-100000-C,CALL,0.015,1249.39,0.531,0.1,0.1,0.0,0.0152,83292.54,"17 Mar 2025, 07:19:17",BTC,2025-04-25,100000.0,C,BTC-25APR25-100000-C,0.0016,0.0018,True
sell,BTC-25APR25-92000-C,CALL,0.0364,3031.26,0.556,99.3,99.3,0.3815,0.0326,83276.29,"17 Mar 2025, 07:18:48",BTC,2025-04-25,92000.0,C,BTC-25APR25-92000-C,0.005,0.0055,True
sell,BTC-25APR25-96000-C,CALL,0.022,1831.46,0.526,1.0,1.0,0.0002,0.0222,83248.01,"17 Mar 2025, 07:17:05",BTC,2025-04-25,96000.0,C,BTC-25APR25-96000-C,0.0027,0.003,True
sell,BTC-25APR25-100000-C,CALL,0.015,1248.74,0.532,0.7,0.7,0.0001,0.0151,83249.31,"17 Mar 2025, 07:17:04",BTC,2025-04-25,100000.0,C,BTC-25APR25-100000-C,0.0016,0.0018,True
sell,BTC-25APR25-100000-C,CALL,0.015,1249.18,0.531,1.0,1.0,0.0002,0.0152,83278.95,"17 Mar 2025, 07:16:33",BTC,2025-04-25,100000.0,C,BTC-25APR25-100000-C,0.0016,0.0018,True
sell,BTC-25APR25-100000-C,CALL,0.015,1249.18,0.531,0.2,0.2,0.0,0.0152,83278.95,"17 Mar 2025, 07:16:33",BTC,2025-04-25,100000.0,C,BTC-25APR25-100000-C,0.0016,0.0018,True
