Buy/Sell,Instrument,CALL/PUT,Price in BTC,Price in $,Volatility,Amount BTC traded,Amount BTC 2,Theo profit,Mark Price,Prix actuel BTC,Date,Asset,Maturity,Strike,Type,Deribit_Instrument,Bid,Ask,is_active
buy,BTC-25APR25-108000-C,CALL,0.007,583.32,0.546,0.1,0.1,0.0,0.0071,83331.04,"17 Mar 2025, 05:13:02",BTC,2025-04-25,108000.0,C,BTC-25APR25-108000-C,0.0008,0.0009,True
sell,BTC-25APR25-104000-C,CALL,0.01,835.66,0.529,0.8,0.8,0.0004,0.0105,83566.17,"17 Mar 2025, 04:52:54",BTC,2025-04-25,104000.0,C,BTC-25APR25-104000-C,0.0011,0.0013,True
sell,BTC-25APR25-90000-C,CALL,0.0395,3299.84,0.517,5.0,5.0,0.0028,0.0401,83540.23,"17 Mar 2025, 04:50:38",BTC,2025-04-25,90000.0,C,BTC-25APR25-90000-C,0.007,0.0075,True
sell,BTC-25APR25-80000-P,PUT,0.0461,3856.37,0.529,25.0,25.0,0.0043,0.0463,83652.33,"17 Mar 2025, 04:43:47",BTC,2025-04-25,80000.0,P,BTC-25APR25-80000-P,0.0825,0.0855,True
sell,BTC-25APR25-92000-C,CALL,0.0336,2810.4,0.522,25.0,25.0,0.0025,0.0337,83642.88,"17 Mar 2025, 04:39:30",BTC,2025-04-25,92000.0,C,BTC-25APR25-92000-C,0.005,0.0055,True
buy,BTC-25APR25-92000-C,CALL,0.034,2846.24,0.523,0.1,0.1,0.0,0.034,83712.94,"17 Mar 2025, 04:36:24",BTC,2025-04-25,92000.0,C,BTC-25APR25-92000-C,0.005,0.0055,True
sell,BTC-25APR25-92000-C,CALL,0.0362,3030.43,0.542,100.0,100.0,0.2217,0.034,83713.49,"17 Mar 2025, 04:36:20",BTC,2025-04-25,92000.0,C,BTC-25APR25-92000-C,0.005,0.0055,True
sell,BTC-25APR25-85000-C,CALL,0.0666,5578.52,0.546,310.4,310.4,0.9013,0.0637,83761.61,"17 Mar 2025, 04:35:19",BTC,2025-04-25,85000.0,C,BTC-25APR25-85000-C,0.0155,0.0165,True
buy,BTC-25APR25-92000-C,CALL,0.034,2846.68,0.523,0.1,0.1,0.0,0.0341,83725.98,"17 Mar 2025, 04:30:37",BTC,2025-04-25,92000.0,C,BTC-25APR25-92000-C,0.005,0.0055,True
sell,BTC-25APR25-108000-C,CALL,0.007,585.86,0.539,0.1,0.1,0.0,0.0073,83693.92,"17 Mar 2025, 04:27:14",BTC,2025-04-25,108000.0,C,BTC-25APR25-108000-C,0.0008,0.0009,True
sell,BTC-25APR25-116000-C,CALL,0.0035,292.93,0.562,0.1,0.1,0.0,0.0037,83694.05,"17 Mar 2025, 04:27:14",BTC,2025-04-25,116000.0,C,BTC-25APR25-116000-C,0.0004,0.0006,True
buy,BTC-25APR25-102000-C,CALL,0.013,1088.98,0.532,0.1,0.1,0.0,0.0131,83767.9,"17 Mar 2025, 04:20:21",BTC,2025-04-25,102000.0,C,BTC-25APR25-102000-C,0.0013,0.0015,True
sell,BTC-25APR25-110000-C,CALL,0.006,502.43,0.547,0.1,0.1,0.0,0.0062,83737.68,"17 Mar 2025, 04:18:51",BTC,2025-04-25,110000.0,C,BTC-25APR25-110000-C,0.0006,0.0007,True
sell,BTC-25APR25-110000-C,CALL,0.006,502.46,0.547,0.1,0.1,0.0,0.0062,83742.56,"17 Mar 2025, 04:18:46",BTC,2025-04-25,110000.0,C,BTC-25APR25-110000-C,0.0006,0.0007,True
sell,BTC-25APR25-110000-C,CALL,0.006,502.46,0.547,0.1,0.1,0.0,0.0062,83743.05,"17 Mar 2025, 04:18:42",BTC,2025-04-25,110000.0,C,BTC-25APR25-110000-C,0.0006,0.0007,True
sell,BTC-25APR25-60000-P,PUT,0.0048,401.97,0.6659999999999999,0.1,0.1,0.0,0.0051,83743.54,"17 Mar 2025, 04:18:25",BTC,2025-04-25,60000.0,P,BTC-25APR25-60000-P,0.0055,0.006,True
buy,BTC-25APR25-160000-C,CALL,0.0006,50.25,0.7709999999999999,0.2,0.2,0.0,0.0005,83758.1,"17 Mar 2025, 04:09:08",BTC,2025-04-25,160000.0,C,BTC-25APR25-160000-C,0.0,0.0001,True
sell,BTC-25APR25-102000-C,CALL,0.0135,1131.82,0.537,0.1,0.1,0.0,0.0133,83838.15,"17 Mar 2025, 04:04:15",BTC,2025-04-25,102000.0,C,BTC-25APR25-102000-C,0.0013,0.0015,True
buy,BTC-25APR25-90000-C,CALL,0.0415,3473.38,0.528,5.0,5.0,0.0026,0.041,83696.0,"17 Mar 2025, 03:59:29",BTC,2025-04-25,90000.0,C,BTC-25APR25-90000-C,0.007,0.0075,True
buy,BTC-25APR25-85000-C,CALL,0.0625,5220.45,0.524,0.9,0.9,0.0001,0.0624,83527.22,"17 Mar 2025, 03:46:14",BTC,2025-04-25,85000.0,C,BTC-25APR25-85000-C,0.0155,0.0165,True
buy,BTC-25APR25-84000-C,CALL,0.0675,5633.55,0.524,0.4,0.4,0.0,0.0674,83460.05,"17 Mar 2025, 03:42:13",BTC,2025-04-25,84000.0,C,BTC-25APR25-84000-C,0.0185,0.0195,True
buy,BTC-25APR25-82000-P,PUT,0.058,4836.72,0.526,0.5,0.5,0.0,0.058,83391.7,"17 Mar 2025, 03:38:11",BTC,2025-04-25,82000.0,P,BTC-25APR25-82000-P,0.1005,0.104,True
sell,BTC-25APR25-75000-P,PUT,0.027,2252.03,0.54,1.0,1.0,0.0007,0.0277,83408.43,"17 Mar 2025, 03:37:55",BTC,2025-04-25,75000.0,P,BTC-25APR25-75000-P,0.0475,0.0485,True
sell,BTC-25APR25-75000-P,PUT,0.027,2252.05,0.54,1.0,1.0,0.0008,0.0278,83409.28,"17 Mar 2025, 03:37:13",BTC,2025-04-25,75000.0,P,BTC-25APR25-75000-P,0.0475,0.0485,True
sell,BTC-25APR25-75000-P,PUT,0.027,2252.65,0.54,1.0,1.0,0.0007,0.0277,83431.3,"17 Mar 2025, 03:36:54",BTC,2025-04-25,75000.0,P,BTC-25APR25-75000-P,0.0475,0.0485,True
buy,BTC-25APR25-50000-P,PUT,0.002,166.97,0.8109999999999999,0.1,0.1,0.0,0.002,83484.91,"17 Mar 2025, 03:29:31",BTC,2025-04-25,50000.0,P,BTC-25APR25-50000-P,0.0015,0.0017,True
sell,BTC-25APR25-106000-C,CALL,0.0085,709.72,0.539,0.1,0.1,0.0,0.0087,83496.26,"17 Mar 2025, 03:27:16",BTC,2025-04-25,106000.0,C,BTC-25APR25-106000-C,0.0008,0.0009,True
buy,BTC-25APR25-116000-C,CALL,0.0036,300.55,0.569,0.1,0.1,0.0,0.0037,83485.76,"17 Mar 2025, 03:25:57",BTC,2025-04-25,116000.0,C,BTC-25APR25-116000-C,0.0004,0.0006,True
buy,BTC-25APR25-84000-C,CALL,0.068,5679.91,0.525,0.5,0.5,0.0,0.068,83528.13,"17 Mar 2025, 03:23:43",BTC,2025-04-25,84000.0,C,BTC-25APR25-84000-C,0.0185,0.0195,True
buy,BTC-25APR25-100000-C,CALL,0.0155,1294.8,0.531,0.1,0.1,0.0,0.0156,83535.62,"17 Mar 2025, 03:19:17",BTC,2025-04-25,100000.0,C,BTC-25APR25-100000-C,0.0016,0.0018,True
sell,BTC-25APR25-140000-C,CALL,0.001,83.57,0.675,0.6,0.6,0.0,0.001,83570.41,"17 Mar 2025, 03:18:49",BTC,2025-04-25,140000.0,C,BTC-25APR25-140000-C,0.0,0.0002,True
sell,BTC-25APR25-82000-P,PUT,0.0575,4805.77,0.531,1.0,1.0,0.0003,0.0572,83578.66,"17 Mar 2025, 03:08:48",BTC,2025-04-25,82000.0,P,BTC-25APR25-82000-P,0.1005,0.104,True
sell,BTC-25APR25-92000-C,CALL,0.0332,2769.94,0.524,25.0,25.0,0.0024,0.0333,83431.97,"17 Mar 2025, 03:07:34",BTC,2025-04-25,92000.0,C,BTC-25APR25-92000-C,0.005,0.0055,True
buy,BTC-25APR25-96000-C,CALL,0.0228,1902.25,0.528,25.0,25.0,0.0023,0.0229,83431.97,"17 Mar 2025, 03:07:34",BTC,2025-04-25,96000.0,C,BTC-25APR25-96000-C,0.0027,0.003,True
sell,BTC-25APR25-102000-C,CALL,0.013,1084.93,0.5379999999999999,0.1,0.1,0.0,0.0129,83456.42,"17 Mar 2025, 03:06:16",BTC,2025-04-25,102000.0,C,BTC-25APR25-102000-C,0.0013,0.0015,True
buy,BTC-25APR25-78000-P,PUT,0.039,3253.61,0.54,5.6,5.6,0.0021,0.0386,83426.0,"17 Mar 2025, 03:04:20",BTC,2025-04-25,78000.0,P,BTC-25APR25-78000-P,0.0675,0.0695,True
buy,BTC-25APR25-78000-P,PUT,0.039,3253.61,0.54,1.4,1.4,0.0005,0.0386,83426.0,"17 Mar 2025, 03:04:20",BTC,2025-04-25,78000.0,P,BTC-25APR25-78000-P,0.0675,0.0695,True
buy,BTC-25APR25-78000-P,PUT,0.039,3253.61,0.54,8.0,8.0,0.003,0.0386,83426.0,"17 Mar 2025, 03:04:20",BTC,2025-04-25,78000.0,P,BTC-25APR25-78000-P,0.0675,0.0695,True
buy,BTC-25APR25-80000-P,PUT,0.0475,3961.96,0.53,15.9,15.9,0.0039,0.0477,83409.61,"17 Mar 2025, 03:04:06",BTC,2025-04-25,80000.0,P,BTC-25APR25-80000-P,0.0825,0.0855,True
buy,BTC-25APR25-80000-P,PUT,0.0475,3961.96,0.53,3.8,3.8,0.0009,0.0477,83409.61,"17 Mar 2025, 03:04:06",BTC,2025-04-25,80000.0,P,BTC-25APR25-80000-P,0.0825,0.0855,True
buy,BTC-25APR25-78000-P,PUT,0.039,3252.99,0.54,5.0,5.0,0.0014,0.0387,83410.03,"17 Mar 2025, 03:04:01",BTC,2025-04-25,78000.0,P,BTC-25APR25-78000-P,0.0675,0.0695,True
buy,BTC-25APR25-80000-P,PUT,0.0475,3962.07,0.53,0.1,0.1,0.0,0.0477,83412.05,"17 Mar 2025, 03:03:52",BTC,2025-04-25,80000.0,P,BTC-25APR25-80000-P,0.0825,0.0855,True
buy,BTC-25APR25-80000-P,PUT,0.0475,3962.83,0.531,0.2,0.2,0.0,0.0477,83428.05,"17 Mar 2025, 03:03:49",BTC,2025-04-25,80000.0,P,BTC-25APR25-80000-P,0.0825,0.0855,True
buy,BTC-25APR25-88000-C,CALL,0.048,4002.55,0.527,0.8,0.8,0.0002,0.0477,83386.45,"17 Mar 2025, 03:03:28",BTC,2025-04-25,88000.0,C,BTC-25APR25-88000-C,0.0095,0.0105,True
buy,BTC-25APR25-78000-P,PUT,0.0395,3293.77,0.5429999999999999,6.0,6.0,0.004,0.0388,83386.6,"17 Mar 2025, 03:03:27",BTC,2025-04-25,78000.0,P,BTC-25APR25-78000-P,0.0675,0.0695,True
buy,BTC-25APR25-78000-P,PUT,0.0395,3293.77,0.5429999999999999,4.0,4.0,0.0027,0.0388,83386.6,"17 Mar 2025, 03:03:27",BTC,2025-04-25,78000.0,P,BTC-25APR25-78000-P,0.0675,0.0695,True
buy,BTC-25APR25-80000-P,PUT,0.0475,3962.48,0.531,1.0,1.0,0.0002,0.0477,83420.54,"17 Mar 2025, 03:02:30",BTC,2025-04-25,80000.0,P,BTC-25APR25-80000-P,0.0825,0.0855,True
buy,BTC-25APR25-80000-P,PUT,0.0475,3963.16,0.532,1.1,1.1,0.0001,0.0476,83434.89,"17 Mar 2025, 03:02:24",BTC,2025-04-25,80000.0,P,BTC-25APR25-80000-P,0.0825,0.0855,True
buy,BTC-25APR25-80000-P,PUT,0.0475,3963.16,0.532,0.6,0.6,0.0,0.0476,83434.89,"17 Mar 2025, 03:02:24",BTC,2025-04-25,80000.0,P,BTC-25APR25-80000-P,0.0825,0.0855,True
buy,BTC-25APR25-80000-P,PUT,0.0475,3963.16,0.532,0.1,0.1,0.0,0.0476,83434.89,"17 Mar 2025, 03:02:24",BTC,2025-04-25,80000.0,P,BTC-25APR25-80000-P,0.0825,0.0855,True
buy,BTC-25APR25-80000-P,PUT,0.0475,3963.16,0.532,0.1,0.1,0.0,0.0476,83434.89,"17 Mar 2025, 03:02:24",BTC,2025-04-25,80000.0,P,BTC-25APR25-80000-P,0.0825,0.0855,True
buy,BTC-25APR25-80000-P,PUT,0.0475,3963.16,0.532,0.1,0.1,0.0,0.0476,83434.89,"17 Mar 2025, 03:02:24",BTC,2025-04-25,80000.0,P,BTC-25APR25-80000-P,0.0825,0.0855,True
buy,BTC-25APR25-80000-P,PUT,0.0475,3963.16,0.532,0.1,0.1,0.0,0.0476,83434.89,"17 Mar 2025, 03:02:24",BTC,2025-04-25,80000.0,P,BTC-25APR25-80000-P,0.0825,0.0855,True
buy,BTC-25APR25-80000-P,PUT,0.0475,3963.25,0.532,0.1,0.1,0.0,0.0476,83436.75,"17 Mar 2025, 03:02:22",BTC,2025-04-25,80000.0,P,BTC-25APR25-80000-P,0.0825,0.0855,True
buy,BTC-25APR25-80000-P,PUT,0.0475,3963.32,0.532,0.3,0.3,0.0,0.0476,83438.25,"17 Mar 2025, 03:02:22",BTC,2025-04-25,80000.0,P,BTC-25APR25-80000-P,0.0825,0.0855,True
buy,BTC-25APR25-80000-P,PUT,0.0475,3963.32,0.532,3.5,3.5,0.0003,0.0476,83438.25,"17 Mar 2025, 03:02:22",BTC,2025-04-25,80000.0,P,BTC-25APR25-80000-P,0.0825,0.0855,True
buy,BTC-25APR25-80000-P,PUT,0.0475,3963.32,0.532,3.0,3.0,0.0003,0.0476,83438.25,"17 Mar 2025, 03:02:22",BTC,2025-04-25,80000.0,P,BTC-25APR25-80000-P,0.0825,0.0855,True
sell,BTC-25APR25-75000-P,PUT,0.0285,2371.08,0.5479999999999999,1.0,1.0,0.0001,0.0284,83195.84,"17 Mar 2025, 02:56:23",BTC,2025-04-25,75000.0,P,BTC-25APR25-75000-P,0.0475,0.0485,True
sell,BTC-25APR25-135000-C,CALL,0.0013,108.23,0.6609999999999999,1.0,1.0,0.0,0.0013,83254.06,"17 Mar 2025, 02:30:48",BTC,2025-04-25,135000.0,C,BTC-25APR25-135000-C,0.0001,0.0003,True
sell,BTC-25APR25-98000-C,CALL,0.018,1497.71,0.527,3.1,3.1,0.0019,0.0186,83206.06,"17 Mar 2025, 02:28:03",BTC,2025-04-25,98000.0,C,BTC-25APR25-98000-C,0.002,0.0022,True
buy,BTC-25APR25-102000-C,CALL,0.013,1081.7,0.544,0.1,0.1,0.0,0.0127,83207.69,"17 Mar 2025, 02:27:27",BTC,2025-04-25,102000.0,C,BTC-25APR25-102000-C,0.0013,0.0015,True
buy,BTC-25APR25-100000-C,CALL,0.015,1246.33,0.535,0.1,0.1,0.0,0.0151,83088.77,"17 Mar 2025, 02:19:17",BTC,2025-04-25,100000.0,C,BTC-25APR25-100000-C,0.0016,0.0018,True
buy,BTC-25APR25-116000-C,CALL,0.0036,298.81,0.5760000000000001,0.1,0.1,0.0,0.0036,83003.26,"17 Mar 2025, 02:18:06",BTC,2025-04-25,116000.0,C,BTC-25APR25-116000-C,0.0004,0.0006,True
buy,BTC-25APR25-108000-C,CALL,0.007,580.94,0.552,0.1,0.1,0.0,0.0071,82991.06,"17 Mar 2025, 02:17:11",BTC,2025-04-25,108000.0,C,BTC-25APR25-108000-C,0.0008,0.0009,True
sell,BTC-25APR25-85000-C,CALL,0.061,5074.74,0.526,0.5,0.5,0.0001,0.0612,83192.5,"17 Mar 2025, 02:01:25",BTC,2025-04-25,85000.0,C,BTC-25APR25-85000-C,0.0155,0.0165,True
sell,BTC-25APR25-106000-P,PUT,0.2755,22953.81,0.551,0.5,0.5,0.0002,0.2752,83316.93,"17 Mar 2025, 01:49:45",BTC,2025-04-25,106000.0,P,BTC-25APR25-106000-P,0.389,0.3955,True
sell,BTC-25APR25-160000-C,CALL,0.0005,41.54,0.763,0.5,0.5,0.0,0.0006,83074.29,"17 Mar 2025, 01:33:59",BTC,2025-04-25,160000.0,C,BTC-25APR25-160000-C,0.0,0.0001,True
sell,BTC-25APR25-116000-C,CALL,0.0034,282.21,0.569,0.1,0.1,0.0,0.0036,83002.15,"17 Mar 2025, 01:26:56",BTC,2025-04-25,116000.0,C,BTC-25APR25-116000-C,0.0004,0.0006,True
sell,BTC-25APR25-106000-C,CALL,0.008,664.01,0.539,0.1,0.1,0.0,0.0084,83001.61,"17 Mar 2025, 01:26:56",BTC,2025-04-25,106000.0,C,BTC-25APR25-106000-C,0.0008,0.0009,True
buy,BTC-25APR25-95000-C,CALL,0.0235,1948.02,0.526,0.1,0.1,0.0,0.0238,82894.35,"17 Mar 2025, 01:20:20",BTC,2025-04-25,95000.0,C,BTC-25APR25-95000-C,0.0032,0.0035,True
buy,BTC-25APR25-100000-C,CALL,0.0145,1201.92,0.5329999999999999,0.1,0.1,0.0,0.0146,82890.86,"17 Mar 2025, 01:20:17",BTC,2025-04-25,100000.0,C,BTC-25APR25-100000-C,0.0016,0.0018,True
sell,BTC-25APR25-102000-C,CALL,0.0125,1038.03,0.54,0.1,0.1,0.0,0.0124,83042.23,"17 Mar 2025, 01:08:40",BTC,2025-04-25,102000.0,C,BTC-25APR25-102000-C,0.0013,0.0015,True
buy,BTC-25APR25-60000-P,PUT,0.005,415.99,0.66,0.1,0.1,0.0,0.0051,83197.73,"17 Mar 2025, 01:01:47",BTC,2025-04-25,60000.0,P,BTC-25APR25-60000-P,0.0055,0.006,True
sell,BTC-25APR25-84000-P,PUT,0.073,6058.36,0.526,0.7,0.7,0.0003,0.0735,82991.24,"17 Mar 2025, 00:49:38",BTC,2025-04-25,84000.0,P,BTC-25APR25-84000-P,0.1185,0.124,True
sell,BTC-25APR25-84000-P,PUT,0.073,6058.36,0.526,8.3,8.3,0.0038,0.0735,82991.24,"17 Mar 2025, 00:49:38",BTC,2025-04-25,84000.0,P,BTC-25APR25-84000-P,0.1185,0.124,True
buy,BTC-25APR25-84000-P,PUT,0.073,6059.53,0.527,1.0,1.0,0.0003,0.0733,83007.28,"17 Mar 2025, 00:46:46",BTC,2025-04-25,84000.0,P,BTC-25APR25-84000-P,0.1185,0.124,True
buy,BTC-25APR25-100000-C,CALL,0.015,1245.13,0.536,0.1,0.1,0.0,0.0152,83008.77,"17 Mar 2025, 00:46:32",BTC,2025-04-25,100000.0,C,BTC-25APR25-100000-C,0.0016,0.0018,True
buy,BTC-25APR25-88000-C,CALL,0.0465,3854.8,0.531,0.2,0.2,0.0001,0.0461,82899.0,"17 Mar 2025, 00:32:46",BTC,2025-04-25,88000.0,C,BTC-25APR25-88000-C,0.0095,0.0105,True
sell,BTC-25APR25-92000-C,CALL,0.0315,2610.22,0.526,0.2,0.2,0.0001,0.0318,82864.09,"17 Mar 2025, 00:32:23",BTC,2025-04-25,92000.0,C,BTC-25APR25-92000-C,0.005,0.0055,True
sell,BTC-25APR25-115000-C,CALL,0.0038,314.8,0.5720000000000001,0.1,0.1,0.0,0.0039,82841.18,"17 Mar 2025, 00:28:46",BTC,2025-04-25,115000.0,C,BTC-25APR25-115000-C,0.0004,0.0006,True
sell,BTC-25APR25-106000-C,CALL,0.008,662.73,0.542,0.1,0.1,0.0001,0.0085,82841.18,"17 Mar 2025, 00:28:46",BTC,2025-04-25,106000.0,C,BTC-25APR25-106000-C,0.0008,0.0009,True
buy,BTC-25APR25-102000-C,CALL,0.0125,1035.51,0.544,0.1,0.1,0.0,0.0122,82841.18,"17 Mar 2025, 00:28:45",BTC,2025-04-25,102000.0,C,BTC-25APR25-102000-C,0.0013,0.0015,True
sell,BTC-25APR25-74000-P,PUT,0.027,2234.15,0.5529999999999999,0.1,0.1,0.0,0.0273,82746.17,"17 Mar 2025, 00:09:27",BTC,2025-04-25,74000.0,P,BTC-25APR25-74000-P,0.0415,0.043,True
sell,BTC-25APR25-88000-P,PUT,0.106,8756.33,0.532,0.1,0.1,0.0,0.1057,82606.84,"17 Mar 2025, 00:02:06",BTC,2025-04-25,88000.0,P,BTC-25APR25-88000-P,0.1625,0.1685,True
buy,BTC-25APR25-60000-P,PUT,0.0055,453.7,0.66,2.0,2.0,0.0004,0.0053,82490.35,"16 Mar 2025, 23:40:12",BTC,2025-04-25,60000.0,P,BTC-25APR25-60000-P,0.0055,0.006,True
sell,BTC-25APR25-65000-P,PUT,0.0095,783.01,0.605,0.1,0.1,0.0,0.0095,82422.23,"16 Mar 2025, 23:29:50",BTC,2025-04-25,65000.0,P,BTC-25APR25-65000-P,0.0115,0.0125,True
buy,BTC-25APR25-74000-P,PUT,0.028,2307.67,0.552,0.1,0.1,0.0,0.0281,82416.81,"16 Mar 2025, 23:29:16",BTC,2025-04-25,74000.0,P,BTC-25APR25-74000-P,0.0415,0.043,True
buy,BTC-25APR25-95000-C,CALL,0.023,1895.39,0.5329999999999999,0.1,0.1,0.0,0.0229,82408.08,"16 Mar 2025, 23:29:10",BTC,2025-04-25,95000.0,C,BTC-25APR25-95000-C,0.0032,0.0035,True
buy,BTC-25APR25-100000-C,CALL,0.014,1153.59,0.537,0.1,0.1,0.0,0.0141,82399.56,"16 Mar 2025, 23:28:17",BTC,2025-04-25,100000.0,C,BTC-25APR25-100000-C,0.0016,0.0018,True
buy,BTC-25APR25-100000-C,CALL,0.0145,1194.78,0.5429999999999999,0.1,0.1,0.0,0.0142,82398.88,"16 Mar 2025, 23:27:27",BTC,2025-04-25,100000.0,C,BTC-25APR25-100000-C,0.0016,0.0018,True
sell,BTC-25APR25-106000-C,CALL,0.0075,617.98,0.542,0.1,0.1,0.0001,0.0081,82397.85,"16 Mar 2025, 23:27:26",BTC,2025-04-25,106000.0,C,BTC-25APR25-106000-C,0.0008,0.0009,True
buy,BTC-25APR25-80000-P,PUT,0.054,4444.46,0.536,3.4,3.4,0.0004,0.0541,82304.85,"16 Mar 2025, 23:24:58",BTC,2025-04-25,80000.0,P,BTC-25APR25-80000-P,0.0825,0.0855,True
buy,BTC-25APR25-80000-P,PUT,0.054,4444.5,0.536,1.6,1.6,0.0002,0.0541,82305.59,"16 Mar 2025, 23:24:57",BTC,2025-04-25,80000.0,P,BTC-25APR25-80000-P,0.0825,0.0855,True
buy,BTC-25APR25-95000-C,CALL,0.023,1895.56,0.5329999999999999,1.0,1.0,0.0,0.023,82415.54,"16 Mar 2025, 23:20:00",BTC,2025-04-25,95000.0,C,BTC-25APR25-95000-C,0.0032,0.0035,True
buy,BTC-25APR25-95000-C,CALL,0.023,1895.67,0.5329999999999999,0.1,0.1,0.0,0.023,82420.59,"16 Mar 2025, 23:19:59",BTC,2025-04-25,95000.0,C,BTC-25APR25-95000-C,0.0032,0.0035,True
buy,BTC-25APR25-100000-C,CALL,0.014,1152.78,0.5379999999999999,0.2,0.2,0.0,0.0141,82341.49,"16 Mar 2025, 23:16:16",BTC,2025-04-25,100000.0,C,BTC-25APR25-100000-C,0.0016,0.0018,True
buy,BTC-25APR25-94000-C,CALL,0.025,2056.88,0.532,0.8,0.8,0.0,0.025,82275.01,"16 Mar 2025, 23:14:02",BTC,2025-04-25,94000.0,C,BTC-25APR25-94000-C,0.0037,0.004,True
buy,BTC-25APR25-115000-C,CALL,0.0037,303.61,0.5820000000000001,0.1,0.1,0.0,0.0037,82056.73,"16 Mar 2025, 23:09:43",BTC,2025-04-25,115000.0,C,BTC-25APR25-115000-C,0.0004,0.0006,True
buy,BTC-25APR25-70000-P,PUT,0.018,1477.7,0.569,0.2,0.2,0.0,0.0182,82094.34,"16 Mar 2025, 23:04:22",BTC,2025-04-25,70000.0,P,BTC-25APR25-70000-P,0.024,0.025,True
buy,BTC-25APR25-88000-C,CALL,0.043,3532.75,0.527,0.1,0.1,0.0,0.0433,82157.0,"16 Mar 2025, 23:02:22",BTC,2025-04-25,88000.0,C,BTC-25APR25-88000-C,0.0095,0.0105,True
buy,BTC-25APR25-88000-P,PUT,0.1095,8996.57,0.53,0.1,0.1,0.0,0.1095,82160.44,"16 Mar 2025, 23:02:17",BTC,2025-04-25,88000.0,P,BTC-25APR25-88000-P,0.1625,0.1685,True
buy,BTC-25APR25-86000-C,CALL,0.051,4186.85,0.526,0.1,0.1,0.0,0.0514,82095.1,"16 Mar 2025, 23:00:38",BTC,2025-04-25,86000.0,C,BTC-25APR25-86000-C,0.0135,0.014,True
buy,BTC-25APR25-86000-P,PUT,0.094,7721.23,0.531,0.1,0.1,0.0,0.0938,82140.79,"16 Mar 2025, 23:00:31",BTC,2025-04-25,86000.0,P,BTC-25APR25-86000-P,0.14,0.145,True
sell,BTC-25APR25-88000-C,CALL,0.0425,3488.96,0.526,0.1,0.1,0.0001,0.043,82093.26,"16 Mar 2025, 23:00:00",BTC,2025-04-25,88000.0,C,BTC-25APR25-88000-C,0.0095,0.0105,True
buy,BTC-25APR25-88000-P,PUT,0.11,9030.26,0.529,0.1,0.1,0.0,0.1101,82093.29,"16 Mar 2025, 22:59:51",BTC,2025-04-25,88000.0,P,BTC-25APR25-88000-P,0.1625,0.1685,True
buy,BTC-25APR25-86000-C,CALL,0.0515,4231.72,0.527,0.1,0.1,0.0,0.0518,82169.4,"16 Mar 2025, 22:58:23",BTC,2025-04-25,86000.0,C,BTC-25APR25-86000-C,0.0135,0.014,True
sell,BTC-25APR25-84000-C,CALL,0.061,5012.36,0.526,0.1,0.1,0.0001,0.0616,82169.87,"16 Mar 2025, 22:58:22",BTC,2025-04-25,84000.0,C,BTC-25APR25-84000-C,0.0185,0.0195,True
buy,BTC-25APR25-84000-P,PUT,0.079,6491.53,0.529,0.1,0.1,0.0,0.0792,82171.26,"16 Mar 2025, 22:58:19",BTC,2025-04-25,84000.0,P,BTC-25APR25-84000-P,0.1185,0.124,True
sell,BTC-25APR25-86000-P,PUT,0.0935,7681.18,0.528,0.1,0.1,0.0,0.0938,82151.62,"16 Mar 2025, 22:58:14",BTC,2025-04-25,86000.0,P,BTC-25APR25-86000-P,0.14,0.145,True
buy,BTC-25APR25-88000-P,PUT,0.1095,8994.36,0.529,0.1,0.1,0.0,0.1097,82140.24,"16 Mar 2025, 22:56:48",BTC,2025-04-25,88000.0,P,BTC-25APR25-88000-P,0.1625,0.1685,True
buy,BTC-25APR25-88000-C,CALL,0.043,3531.78,0.528,0.1,0.1,0.0,0.0432,82134.32,"16 Mar 2025, 22:56:47",BTC,2025-04-25,88000.0,C,BTC-25APR25-88000-C,0.0095,0.0105,True
sell,BTC-25APR25-84000-C,CALL,0.061,5010.22,0.527,0.1,0.1,0.0,0.0614,82134.81,"16 Mar 2025, 22:56:31",BTC,2025-04-25,84000.0,C,BTC-25APR25-84000-C,0.0185,0.0195,True
buy,BTC-25APR25-84000-P,PUT,0.0795,6529.85,0.531,0.1,0.1,0.0,0.0794,82136.52,"16 Mar 2025, 22:56:28",BTC,2025-04-25,84000.0,P,BTC-25APR25-84000-P,0.1185,0.124,True
buy,BTC-25APR25-86000-P,PUT,0.094,7721.07,0.531,0.1,0.1,0.0,0.0939,82139.02,"16 Mar 2025, 22:56:24",BTC,2025-04-25,86000.0,P,BTC-25APR25-86000-P,0.14,0.145,True
buy,BTC-25APR25-86000-C,CALL,0.0515,4229.78,0.529,0.1,0.1,0.0,0.0516,82131.57,"16 Mar 2025, 22:56:22",BTC,2025-04-25,86000.0,C,BTC-25APR25-86000-C,0.0135,0.014,True
buy,BTC-25APR25-70000-P,PUT,0.018,1478.33,0.57,0.1,0.1,0.0,0.0181,82129.65,"16 Mar 2025, 22:55:49",BTC,2025-04-25,70000.0,P,BTC-25APR25-70000-P,0.024,0.025,True
buy,BTC-25APR25-90000-C,CALL,0.0375,3090.78,0.534,0.1,0.1,0.0,0.0371,82420.9,"16 Mar 2025, 22:45:36",BTC,2025-04-25,90000.0,C,BTC-25APR25-90000-C,0.007,0.0075,True
